序号,单词,注音,释义
2334,mankind ,mæn'kaind, n.人类 男人
2335,manly ,'mænli, adj.男子气概的 果断的 强壮的 适于男人的 adv.男子般地
2336,manner ,'mænə, n.方式 态度 礼貌 举止 习俗
2337,manual ,'mænjuəl, adj.体力的 手工的 n.手册 指南 键盘
2338,manufacture ,.mænju'fæktʃə, vt.制造 加工 vi.参与制造 n.制造 产品 制造业
2339,manufacturer ,.mænju'fæktʃərə, n.制造商 制造厂
2340,many ,'meni, adj.许多的 pron.许多人或物 n.许多人 许多
2341,map ,mæp, n.地图 图 天体图 基因图谱 vt.绘制地图 计划 [计算机] 存储区分配图
2342,marble ,'mɑ:bl, n.大理石 vt.使有大理石的花纹
2343,march ,mɑ:tʃ, n.(March)三月 示威游行 vt.使前进 使行军 vi.行军 进军 游行示威
2344,margin ,'mɑ:dʒin, n.页边的空白 边缘 差额 利润 vt.使围绕于 加边缘
2345,marine ,mə'ri:n, adj.海的 海上的 海事的 船舶的 航海的 n.(海军)士兵或军官 海景画
2346,mark ,mɑ:k, n. 斑点 污迹 记号 标记 分数 烙印 纪录 vt. 标明 做标记于 留意 打分数 留下污痕 使...明显 vi. 做标志 记分 留下印记
2347,market ,'mɑ:kit, n.市场 集市 销路 交易 推销地区 vt.在市场上交易 使...上市 vi.在市场上买卖
2348,marriage ,'mæridʒ, n.结婚 婚姻 婚礼
2349,married ,'mærid, adj.已婚的 婚姻的
2350,marry ,'mæri, vt.娶 嫁 vi.结婚 结合
2351,marvelous ,'mɑ:viləs, adj.奇迹般的 了不起的 令人惊异的 不平常的
2352,Marxism ,'mɑ:ksizəm, n.马克思主义
2353,Marxist ,'mɑ:ksist, adj.马克思主义的
2354,mask ,mɑ:sk, n.面具 伪装 口罩 掩饰 面膜 vt.掩饰 戴面具 化装 [计算机] 掩码
2355,mass ,mæs, n.众多 团 群众 块 大量 adj.群众的 大规模的 v.集中 (Mass) n.弥撒 弥撒曲 pl.群
2356,master ,'mɑ:stə, n.主人 能手 硕士 专家 adj.主人的 主要的 精通的 vt.征服 控制 精通
2357,masterpiece ,'mɑ:stəpi:s, n.杰作 名著
2358,mat ,mæt, n. 席子 草席 垫子 垫 丛 衬边 消光面 vt. 遮盖 保护 用垫子装饰 使纠缠 铺席于...上 使...无光泽 给(照片)镶框 vi. 缠结
2359,match ,mætʃ, n.比赛 竞赛 对手 火柴 般配的人 配偶 v.使...相配 与...竞争 相配
2360,mate ,meit, n.伙伴 同事 配偶 助手 v.使...配对 交配 使...一致 结伴
2361,material ,mə'tiəriəl, n.材料 原料 物质 素材 题材 资料 a.物质的 实体的 身体上的 肉体的 重要的 关键的
2362,materialism ,mə'tiəriəlizəm, n.唯物主义 唯物论 实利主义
2363,mathematical ,.mæθə'mætikl, adj.数学的 数学上的 精确的 可能性极小的
2364,mathematics ,.mæθi'mætiks, n.数学
2365,maths ,mæθs, n.(英)数学 =mathematics(英)
2366,matter ,'mætə, n.事情 物质 原因 vi.要紧 有关系
2367,mature ,mə'tjuə, adj.成熟的 到期的 充分发育的 考虑周到的 vt.使…成熟 长成 vi.长成 成熟 到期
2368,maximum ,'mæksiməm, n.最大量 极点 极大 adj.最大的 最高的 最大极限的
2369,may ,"mei, me", v.aux.可能 可以 祝愿 n.(May)五月 青春
2370,maybe ,'meibi, adv.大概 或许 也许 n.不确定性
2371,mayor ,'mɛ, n.市长
2372,me ,mi:, pron.(宾格)我
2373,meadow ,'medəu, n.草地 牧场 牧草地
2374,meal ,mi:l, n.膳食 一餐 谷物粗粉 vi.进餐
2375,mean ,mi:n, vt. 作...解释 意指 意谓 想要 意欲 n. 平均值 平均数 中部 adj. 低劣的 卑贱的 卑鄙的 自私的吝啬的 平均的 中等的
2376,meaning ,'mi:niŋ, n.意义 意思 含义 意图 adj.意味深长的
2377,means ,mi:nz, n.方法 手段 工具 折中点 物质财富
2378,meantime ,'mi:n'taim, n.其时 其间 adv.当时 与此同时
2379,meanwhile ,'mi:n'wail, adv.同时 当时 n.其时 其间
2380,measurable ,'meʒərəbəl, adj.可测量的
2381,measure ,'meʒə, vt.量 测量 n.分量 措施 办法 量度 尺寸
2382,measurement ,'meʒəmənt, n.衡量 测量 尺寸 大小
2383,meat ,mi:t, n.肉 主要或重要部分
2384,mechanic ,mi'kænik, n.技工 机械 机修工 adj.手工的
2385,mechanical ,mi'kænikəl, a.机械的 力学的 呆板的 n.(供制版用的)样书 版面设计
2386,mechanically ,mi'kænikəli, adv.机械地
2387,mechanics ,mi'kæniks, n.力学 机械学 (技术的 操作的)过程 手法 技术性细节
2388,medal ,'medl, n.奖章 勋章 纪念章 vi.获得奖章
2389,medical ,'medikəl, adj.医学的 内科的 医疗的 药物的 需治疗的
2390,medicine ,'medisin, n.内服药 医学
2391,Mediterranean ,.meditə'reinjən, n.地中海 adj.地中海(的)
2392,medium ,'mi:diəm, n.媒质 方法 媒介 中间 adj.中等的 适中的
2393,meet ,mi:t, vt.遇见 引见 经历 结识 对付 满足 支付 vi.相遇 集合 交锋 相交 n.集会 比赛 运动会 adj.适宜的 合适的
2394,meeting ,'mi:tiŋ, n.聚集 会合 会见 会议
2395,melon ,'melən, n.瓜 甜瓜
2396,melt ,melt, vi.融化 熔化 溶解 软化 渐渐混合 vt.使融化 n.熔化 熔化物
2397,member ,'membə, n.成员 会员 部位
2398,memorial ,mi'mɔ:riəl, adj.纪念的 追悼的 记忆的 n.纪念碑(堂) 纪念仪式
2399,memory ,'meməri, n.记忆 回忆 存储 内存
2400,mend ,mend, vt.修理 修补 缝补 修改 改进 vi.改过自新 改进 痊愈 n.修补 改进 修补处
2401,mental ,'mentl, adj.智力的 精神的 脑力的 精神错乱的 传心术的 [解剖学] 颏的
2402,mention ,'menʃən, vt. & n.提及 说起
2403,menu ,'menju:, n.菜单 饭菜 菜肴
2404,merchant ,'mə:tʃənt, n.商人 零售商 店主 专家 adj.商业的 vt.做买卖
2405,mercury ,'mə:kjuri, n.水银 汞 (Mercury)水星
2406,mercy ,'mə:si, n.仁慈 慈悲 恩惠 怜悯 宽恕 幸运 adj.仁慈的 宽恕的
2407,mere ,miə, adj.仅仅的 纯粹的 微小的 n.小湖 边界 地标
2408,merely ,'miəli, adv.仅仅 只不过
2409,merit ,'merit, n.长处 优点 功过 功绩 价值 v.博得 值得或应得
2410,merry ,'meri, adj.欢乐的 愉快的 敏捷的
2411,mess ,mes, n.混乱 混杂 肮脏 乱七八糟 一堆食物 集体用膳人员 大量 v.供给食物 把...弄乱
2412,message ,'mesidʒ, n.信息 消息 启示 要点 v.传递信息 通讯
2413,messenger ,'mesindʒə, n.送信者 信使 先驱
2414,metal ,'metl, n.金属 质料 金属制品 vt.以金属覆盖
2415,meter ,'mi:tə, n.计量器 计 表 公尺 韵律 vt.用表测量 [计量 记录]
2416,method ,'meθəd, n.方法 办法 教学法 条理 类函数 类成员函数(计算机)
2417,metre ,'mi:tə, n.米 公尺 计量器 (诗的)韵律 格律 =meter(美)
2418,metric ,'metrik, adj.公制的 米制的 十进制的 n.度量标准 公制 米制 十进制
2419,microcomputer ,'maikrəukəm'pju:tə, n.微型计算机 微机
2420,microphone ,'maikrəfəun, n.话筒 麦克风 扩音器
2421,microscope ,'maikrəskəup, n.显微镜
2422,midday ,'middei, n.正午 中午
2423,middle ,'midl, n.中部 中间 腰 中项 adj.中部的 中等的 中间的 中期的
2424,midnight ,'midnait, n.午夜 子夜 夜半 漆黑
2425,midst ,midst, n.中部 中间 当中 prep.(=amidst)在...当中
2426,might ,mait, v.aux.可能 会 也许 n.力量 威力 能力 v.或许 可以
2427,mild ,maild, adj.和缓的 温柔的 味淡的 轻微的 温和的 适度的
2428,mile ,mail, n.英里 大量 海里 一英里赛跑
2429,military ,'militəri, adj.军事的 军人的 n.军队
2430,milk ,milk, n.乳 乳状物 牛奶 vt.挤(奶) 产乳
2431,mill ,mil, n.磨坊 制造厂 磨粉机 密尔：一种货币单位 使陷于困境 vt.磨细 vi.乱转 磨细
2432,millimetre ,'mili.mi:tə, n.毫米 =millimeter(美)
2433,million ,'miljən, num.百万 n.许多 百万 (the millions)群众 adj.百万的 无数的
2434,mind ,maind, n.头脑 理智 记忆 思想 主意 心意 vt.留心 注意 介意 照顾 vi.留心 关心
2435,mine ,main, pron.我的 n.地雷 矿山 宝库 vt.采矿 开凿 暗中破坏 埋地雷 vi.挖掘
2436,miner ,'mainə, n.矿工
2437,mineral ,'minərəl, n.矿物 矿石 adj.矿物的
2438,minimum ,'miniməm, n.最小量 最低限度adj.最低的 最小的
2439,minister ,'ministə, n.部长 大臣 公使 vi.照顾 给予帮助
2440,ministry ,'ministri, n.(政府的)部 (全体)牧师 牧师工作
2441,minor ,'mainə, adj.较小的 较次要的 二流的 未成年的 n.未成年人 辅修科目 [音乐]小调 vi.辅修
2442,minority ,mai'nɔ:riti, n.少数 少数民族 未成年
2443,minus ,'mainəs, adj.负的 减的 prep.减(去) n.减号 负数 缺点
2444,minute ,'minit, n.分 分钟 一会儿 会议记录 adj.微小的 不重要的 详细的 vt.记录
2445,miracle ,'mirəkl, n.奇迹 令人惊奇的人
2446,mirror ,'mirə, n.镜子 vt.反映 反射
2447,miserable ,'mizərəbl, adj.痛苦的 悲惨的 贫乏的
2448,mislead ,mis'li:d,vt.使误入岐途 误导 使产生错误印象 欺骗
2449,miss ,mis, n.小姐 vt.想念 惦念 漏掉 错过 未看到
2450,missile ,'misail, n.发射物 导弹
2451,missing ,'misiŋ, a.缺掉的 失去的 失踪的
2452,mission ,'miʃən, n.使命 任务 使团 代表团 传教 vt.传教 [计算机] 使命
2453,mist ,mist, n.薄雾 迷蒙 朦胧不清 vt.使...模糊 蒙上雾 vi.使...模糊 下雾
2454,mistake ,mi'steik, n.错误 误会 vi.误解 弄错 犯错 vt.弄错 误认
2455,Mister ,'mistə, n.先生
2456,mistress ,'mistris, n.女主人 夫人 主妇 情妇
2457,misunderstand ,'misʌndə'stænd, vt.误解 误会 曲解
2458,mix ,miks, vt.使混合 混淆 掺入 合成 交往 联系 n.混合(物) 融合 [计算机] 混合
2459,mixture ,'mikstʃə, n.混合 混合物
2460,moan ,məun, n.呻吟声 悲叹声 抱怨声 vi.呻吟 v.抱怨 呻吟
2461,mobile ,'məubail, adj.运动的 流动的 可移动的 易变的 迁徙的 n.(可随风飘动的)悬挂装置 可动雕塑
2462,mode ,məud, n.方式 样式 模式 风格 时兴 [音乐] 调式
2463,model ,'mɔdl, n.模型 模式 模特儿 模范
2464,moderate ,"'mɔdəreit,'mɔdərit", a.温和的 有节制的 适度的 稳健的 中等的 v.节制 使...稳定 使...缓和 n.稳健的人
2465,modern ,'mɔdən, a.现代的 近代的 时髦的 n.现代人 时尚人士
2466,modest ,'mɔdist, adj.有节制的 谦虚的 适度的 端庄的
2467,modify ,'mɔdifai, vt.更改 修改 修饰 调正 缓和 vi.修改
2468,moist ,mɔist, adj.湿润的 潮湿的 多雨的 (果物)多汁的 [医] 有分泌物的 湿性的 n.潮湿
2469,moisture ,'mɔistʃə, n.潮湿 湿气 温度
2470,molecule ,'mɔlikju:l, n.分子 克分子
2471,momen ,'məumənt, t n.片刻 瞬间 时刻 准确时刻 非常重要的时机 力矩
2472,Monday ,"'mʌndi, 'mʌndei", n.星期一
2473,money ,'mʌni, n.货币 金钱 财富
2474,monitor ,'mɔnitə, n.班长 监视器 监听员 [计算机]显示器 监视器 v.监视 监听 监督
2475,monkey ,'mʌŋki, n.猴子 猿 v.胡闹 乱弄
2476,month ,mʌnθ, n.月 月份
2477,monthly ,'mʌnθli, adj.每月的 持续一个月的 每月发生的 adv.每月 按月 n.月刊 (复数monthlies)月经
2478,monument ,'mɔnjumənt, n.纪念碑 纪念馆 历史遗迹
2479,mood ,mu:d, n.心情 情绪 语气
2480,moon ,mu:n, n.月球 月亮 卫星
2481,moral ,'mɔrəl, adj.道德(上)的 合乎道德的n.品行 寓意 道德
2482,more ,mɔ:, a.更多的 程度较大的 更大的 adv.更 多 更多 进一步 n.更多
2483,moreover ,mɔ:r'əuvə, adv.再者 加之 此外 而且
2484,morning ,'mɔ:niŋ, n.早晨 上午 开端
2485,mortal ,'mɔ:tl, adj.终有一死的 人世间的 致命的 终有一死的 极度恐怖的 n.一个人
2486,mosquito ,məs'ki:təu, n.蚊子
2487,most ,məust, adj.最多的 大多数的 几乎全部的 adv.最 很 最多 极其 n.最多 最大 pron.大多数
2488,mostly ,'məustli, adv.主要的 大部分 大概
2489,mother ,'mʌðə, n.母亲 妈妈 adj.母亲的 母体的 vt.生育 像母亲一样关爱
2490,motion ,'məuʃən, n.运动 打手势 提议 示意 移动 动作 大便 v.运动 向...打手势 示意
2491,motivate ,'məutiveit, vt.促动 激励 激发(兴趣或欲望) 给与动机
2492,motive ,'məutiv, n.动机 目的 主题 adj.发动的 运动的 积极的 动机的 vt.促使 使有动机
2493,motor ,'məutə, n.发动机 机动车 马达 汽车 adj.机动的 有引擎的 汽车的 v.(用引擎)驱动
2494,mould ,məuld, n.模子(样板 形状 霉菌 土 类型) 模型 vt.浇铸 模压(铸造 发霉 形成 轮廓相符合) vi.发霉
2495,mount ,maunt, vt.登上 爬上 提升 装备 vi.增长 骑上(马) n.山峰 乘用马 框 衬纸
2496,mountain ,'mauntin, n.山 山岳 山脉 大量
2497,mourn ,mɔ:n, vi.哀痛 哀悼 忧伤 服丧
2498,mouse ,maus, n.老鼠 耗子 鼠标 胆小如鼠的人 乌青色的肿块 vi.捕鼠 蹑手蹑脚行动 vt.仔细寻找
2499,mouth ,mauθ, n. 嘴 口 口腔 开口 需要供养的人 夸张说话的趋势 (河流等)入口 容器的开口 vt. 装腔作势说话 送进嘴里 喃喃自语 用唇语说 vi. 傲慢地说 嘟嘴扮鬼脸
2500,mouthful ,'mauθful, n.满口 一口 少量
2501,move ,mu:v," vt. 使移动 使...感动 推动 (有时也意译为""跳槽"") n. 移动 迁居 步骤 动作 [计算机] 移动 vi. 移动 搬家 采取行动"
2502,movement ,'mu:vmənt, n.动作 活动 移动 运动 变动 趋势 通便 运转装置 [音] 乐章
2503,movie ,'mu:vi, n.电影 电影院
2504,much ,mʌtʃ, adv.非常 很 adj.许多的 pron. & n.许多
2505,mud ,mʌd, n.软泥 泥浆 恶意诽谤和攻击 vt.弄脏 污蔑
2506,muddy ,'mʌdi, adj.多泥的 泥泞的 肮脏的 混浊的 v.弄脏 使...混浊 使迷惑
2507,mug ,mʌg, n.大杯 脸 一杯的量 恶棍 vi.扮鬼脸 vt.攻击 打劫
2508,multiple ,'mʌltipl, adj.复合的 并联的 许多 多种多样的
2509,multiply ,'mʌltiplai, vt.使增加 乘 vi.扩大 繁衍 做乘法 adv.多样地 多重地
2510,murder ,'mə:də, n.谋杀 凶杀 危险物 vt.谋杀 凶杀 折磨 损坏 vi.谋杀 凶杀
2511,murderer ,'mə:dərə, n.杀人犯 凶手
2512,muscle ,'mʌsl, n.肌肉 肌 体力 vt.用力挤 vi.用力进行
2513,museum ,mju:'ziəm, n.博物馆 展览馆
2514,mushroom ,'mʌʃrum, n.蘑菇 菌类植物 暴发户 vi.扩张 迅速增加 采蘑菇
2515,music ,'mju:zik, n.音乐 乐曲 乐谱 伴奏 美妙的声音
2516,musical ,'mju:zikəl, adj.音乐的 和谐的 n.音乐片
2517,musician ,mju:'ziʃən, n.音乐家 作曲家
2518,must ,mʌst, v.aux.必须 必然要 n.必须 一定 绝对 发霉 果汁 麝香
2519,mute ,mju:t, adj.缄默的 哑的 无声的 n.哑巴 默音字母 弱音器 vt.减音 减弱 vi.(鸟)排泄
2520,mutter ,'mʌtə, vi.轻声低语 喃喃自语 作低沉声 抱怨 出怨言 n.喃喃低语
2521,mutton ,'mʌtn, n.羊肉
2522,mutual ,'mju:tʃuəl, adj.相互的 共同的
2523,my ,mai, pron.我的 adj.我的(I的所有格形式) int.哎呦(用于表示惊讶的感叹词)
2524,myself ,mai'self, pron.我自己 我亲自
2525,mysterious ,mis'tiəriəs, adj.神秘的 难以理解的 不可思议的
2526,mystery ,'mistəri, n.神秘 秘密 神秘的人或事物
2527,nail ,neil, n.钉子 指甲 vt.钉 使牢固 抓捕 敲定
2528,naked ,'neikid, adj.裸体的 无遮敝的 明白的 手无寸铁的
2529,name ,neim, n.名字 名称 姓名 名誉 vt.说出 命名 称呼 任命 adj.有名的 著名的
2530,namely ,'neimli, adv.即 也就是
2531,nap ,næp, n.小睡 打盹 瞌睡 绒毛表面 vi.小睡 疏忽 vt.使…起毛
2532,narrow ,'nærəu, adj.狭的 狭窄的 精密的 有限的 n.狭窄部份 海峡 隘路 vt.变窄 使...狭窄 vi.变窄
2533,nasty ,'nɑ:sti, adj.龌龊的 淫猥的 令人作呕的 污秽的 低劣的 难懂的 危害的
2534,nation ,'neiʃən, n.民族 国家
2535,national ,'næʃənəl, adj.民族的 国家的 n.国民
2536,nationality ,.næʃə'næliti, n.国籍 民族 族
2537,native ,'neitiv, adj.本土的 本国的 出生地的 天生的 n.本地人 土著人
2538,natural ,'nætʃərəl, adj.自然界的 天然的 正常的 天生的 n.有天赋的人
2539,naturally ,'nætʃərəli, adv.自然地 天然地
2540,nature ,'neitʃə, n.大自然 自然界 自然状态 本性 性质 类型
2541,naughty ,'nɔ:ti, adj.顽皮的 淘气的 粗俗的
2542,naval ,'neivəl, adj.海军的 军舰的 <古>船舶的
2543,navigation ,.nævi'geiʃən, n.航行 航海术 导航   添加微信brcola获取更多免费资料
2544,navy ,'neivi, n.海军 船队 深蓝色
2545,near ,niə, adv. 近 接近 几乎 亲近 adj. 近的 接近的 亲近的 勉强的 直接的 小气的 近似的 prep. 靠近vt. 靠拢 接近 vi. 接近
2546,nearby ,'niəbai, adj.附近的 adv.在附近 prep.在...附近
2547,nearly ,'niəli, adv.差不多 几乎 密切地
2548,neat ,ni:t, adj.整洁的 熟练的 巧妙的 端正的 极好的 纯的 adv.整齐地
2549,necessarily ,'nesəserili, adv.必然 必定 必需地
2550,necessary ,'nesə.səri, adj.必要的 必需的 必然的 n. [pl.]必需品
2551,necessity ,ni'sesiti, n.必要性 必然性 需要 必需品
2552,neck ,nek, n.颈 脖子
2553,necklace ,'neklis, n.项链 项圈
2554,need ,ni:d, vt.需要 必需 v.aux.需要 n.需要 必须 缺乏
2555,needle ,'ni:dl, n.针 缝补 编织针 vt.用针缝 激怒 嘲弄 vi.缝纫
2556,needless ,'ni:dlis, adj.不需要的 无用的
2557,negative ,'negətiv, adj.否定的 消极的 负的 n.底片 负数 否定 vt.否定
2558,neglect ,ni'glekt, vt.忽视 忽略 疏忽 不顾 n.疏忽 忽略 怠慢
2559,Negro ,'ni:grəu, n.(含歧视意味)黑人 adj.黑人的
2560,neighbour ,'neibə, n.邻居(邻近的东西 邻近值) 邻国 邻人 vt.邻接(相邻 接近)
2561,neighbourhood ,'neibəhud, n.邻居关系 邻近
2562,neither ,'ni:ðə, adj.(两者)都不的 皆不 int.两者都不 conj.既非 既不
2563,nephew ,'nefju:, n.侄子 外甥
2564,nerve ,nə:v, n.神经(生物) 勇敢 胆量 精神 勇气 叶脉 vt.鼓起勇气
2565,nervous ,'nə:vəs, adj.神经(质)的 易激动的 紧张的 焦虑的
2566,nest ,nest, n.巢 窝 穴 vt.嵌入 vi.筑巢
2567,net ,net, n.网 网状物 通信网 净利 实价 adj.净余的 纯粹的 vt.用网捕 撒网 净赚
2568,network ,'netwə:k, n.网状物 网络 系统 广播网 vt.用网覆盖 联网 vi.加入网络
2569,neutral ,'nju:trəl, adj.中立的 中性的 n.中立者 空挡的 素净色
2570,never ,'nevə, adv.永不 决不 不
2571,nevertheless ,.nevəðə'les, conj.然而 不过 adv.仍然 不过
2572,new ,nju:, adj.新的 新近出现的 附加的 adv.新的
2573,newly ,'nju:li, adv.新近 重新地 最近
2574,news ,nju:z, n.新闻 消息
2575,newspaper ,'nju:z.peipə, n.报纸 报 报社 新闻纸 v.从事新闻工作
2576,next ,'nekst, adj.紧接的 贴近的 下一个的 adv.其次 n.下一个 prep.靠近
2577,nice ,nais, adj.美好的 令人愉快的 漂亮的 善意的
2578,niece ,ni:s, n.侄女 外甥女 教士的私生女
2579,night ,nait, n.夜 夜间
2580,nine ,nain, num.九 九个
2581,nineteen ,'nain'ti:n, num.十九 十九个
2582,ninety ,'nainti, num.九十 九十个
2583,ninth ,nainθ, num.第九 九分之一 adj.第九的 九分之一的
2584,nitrogen ,'naitrədʒən, n.氮
2585,no ,nəu, adv.不 并不 adj.没有 不是 绝非 n.不 拒绝 否决票
2586,noble ,'nəubl, adj.贵族的 高尚的 宏伟的 贵族的 高贵的 n.贵族
2587,nobody ,'nəubɔdi, pron.谁也不 无人 没有人 n.无足轻重的人 小人物
2588,nod ,nɔd, vt.点(头) 点头表示 打盹 摆动 v.点头 打盹 使...摆动
2589,noise ,nɔiz, n.喧闹声 响声 噪声 vt.谣传 vi.大声说话 发出噪音
2590,noisy ,'nɔizi, adj.嘈杂的 喧闹的 发出噪声的
2591,none ,nʌn, pron.没有人 没有任何东西 adv.毫不 一点也不
2592,nonsense ,'nɔnsəns, n.胡说 废话 荒唐
